"filename", "language", "YAML", "Markdown", "Dart", "C++", "XML", "JSON", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"g:\myflutterapp\kassim\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"g:\myflutterapp\kassim\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 49, 0, 3, 12, 64
"g:\myflutterapp\kassim\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"g:\myflutterapp\kassim\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 16, 1, 48
"g:\myflutterapp\kassim\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"g:\myflutterapp\kassim\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"g:\myflutterapp\kassim\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"g:\myflutterapp\kassim\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"g:\myflutterapp\kassim\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"g:\myflutterapp\kassim\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"g:\myflutterapp\kassim\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 5, 16
"g:\myflutterapp\kassim\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"g:\myflutterapp\kassim\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"g:\myflutterapp\kassim\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"g:\myflutterapp\kassim\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"g:\myflutterapp\kassim\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"g:\myflutterapp\kassim\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"g:\myflutterapp\kassim\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"g:\myflutterapp\kassim\lib\addCity.dart", "Dart", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 7, 99
"g:\myflutterapp\kassim\lib\addStudent.dart", "Dart", 0, 0, 137, 0, 0, 0, 0, 0, 0, 1, 6, 144
"g:\myflutterapp\kassim\lib\cities.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 7, 107
"g:\myflutterapp\kassim\lib\data\databaseHelper.dart", "Dart", 0, 0, 80, 0, 0, 0, 0, 0, 0, 19, 15, 114
"g:\myflutterapp\kassim\lib\gradeList.dart", "Dart", 0, 0, 300, 0, 0, 0, 0, 0, 0, 0, 8, 308
"g:\myflutterapp\kassim\lib\home.dart", "Dart", 0, 0, 209, 0, 0, 0, 0, 0, 0, 8, 8, 225
"g:\myflutterapp\kassim\lib\main.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 4, 4, 46
"g:\myflutterapp\kassim\lib\models\city.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"g:\myflutterapp\kassim\lib\models\prices.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"g:\myflutterapp\kassim\lib\passCode.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"g:\myflutterapp\kassim\lib\password.dart", "Dart", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 7, 84
"g:\myflutterapp\kassim\lib\prices.dart", "Dart", 0, 0, 374, 0, 0, 0, 0, 0, 0, 40, 10, 424
"g:\myflutterapp\kassim\lib\screens\sgin\signin.dart", "Dart", 0, 0, 114, 0, 0, 0, 0, 0, 0, 1, 11, 126
"g:\myflutterapp\kassim\lib\settings.dart", "Dart", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 3, 123
"g:\myflutterapp\kassim\lib\splash.dart", "Dart", 0, 0, 161, 0, 0, 0, 0, 0, 0, 5, 10, 176
"g:\myflutterapp\kassim\lib\utils\constant.dart", "Dart", 0, 0, 139, 0, 0, 0, 0, 0, 0, 4, 16, 159
"g:\myflutterapp\kassim\lib\utils\studentData.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"g:\myflutterapp\kassim\lib\widget\CustomAppBar.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 4, 5, 84
"g:\myflutterapp\kassim\lib\widget\CustomDrawer.dart", "Dart", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 6, 165
"g:\myflutterapp\kassim\lib\widget\studentList_Item.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 0, 60, 4, 121
"g:\myflutterapp\kassim\lib\widget\textFieldGrey.dart", "Dart", 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 4, 71
"g:\myflutterapp\kassim\pubspec.yaml", "YAML", 63, 0, 0, 0, 0, 0, 0, 0, 0, 31, 14, 108
"g:\myflutterapp\kassim\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 63, 13, 2387, 1, 113, 145, 12, 84, 9, 235, 214, 3276